timestamp,city,temp,humidity,wind,risk_level,alert,advice
2025-10-23T00:11:58.051399,Bhubaneswar,26.12,89,0.0,Low,✅ Weather is stable. No alerts.,No immediate risk.
2025-10-23T00:12:00.225759,Bhubaneswar,26.12,89,0.0,Low,✅ Weather is stable. No alerts.,No immediate risk.
2025-10-23T09:58:09.318498,Bhubaneswar,30.12,62,2.06,Low,✅ Weather is stable. No alerts.,No immediate risk.
2025-10-23T09:58:13.864390,Bhubaneswar,30.12,62,2.06,Low,✅ Weather is stable. No alerts.,No immediate risk.
2025-10-23T09:59:22.636115,Bhubaneswar,30.12,62,2.06,Low,✅ Weather is stable. No alerts.,No immediate risk.
2025-10-23T09:59:58.101957,Bhubaneswar,30.12,62,2.06,Low,✅ Weather is stable. No alerts.,No immediate risk.
2025-10-23T15:09:30.635295,Bhubaneswar,32.12,51,1.54,Low,✅ Weather is stable. No alerts.,No immediate risk.
2025-10-23T15:09:35.451806,Bhubaneswar,32.12,51,1.54,Low,✅ Weather is stable. No alerts.,No immediate risk.
2025-10-23T15:09:53.231718,Bhubaneswar,32.12,51,1.54,Low,✅ Weather is stable. No alerts.,No immediate risk.
2025-10-23T15:11:02.577801,Bhubaneswar,32.12,51,1.54,Low,✅ Weather is stable. No alerts.,No immediate risk.
2025-11-13T10:53:32.210558,Bhubaneswar,26.12,47,4.63,Low,✅ Weather is stable. No alerts.,No immediate risk.
2025-11-13T10:53:36.359635,Bhubaneswar,26.12,47,4.63,Low,✅ Weather is stable. No alerts.,No immediate risk.
